Time (s),Amplitude
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.872271,0
0.874271,0
0.874271,0
0.875272,0
0.875272,0
0.875272,0
0.875272,0
0.875272,0
0.875272,0
0.875272,0
0.876272,0
0.876272,0
0.877272,0
0.877272,0
0.877272,0
0.877272,0
0.878272,0
0.878272,0
0.878272,0
0.878272,0
0.878272,0
0.878272,0
0.880272,0
0.880272,0
0.880272,0
0.880272,0
0.880272,0
0.880272,0
0.880272,0
0.880272,0
0.881272,0
0.881272,0
0.881272,0
0.883272,0
0.883272,0
0.883272,0
0.883272,0
0.883272,0
0.883272,0
0.883272,0
0.883272,0
0.884274,0
0.884274,0
0.884274,0
0.886020,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.886272,0
0.888273,0
0.888273,0
0.888273,0
0.889271,0
0.889271,0
0.889271,0
0.889271,0
0.889271,0
0.889271,0
0.890273,0
0.890273,0
0.891045,0
0.891045,0
0.891045,0
0.892021,0
0.892021,0
0.892021,0
0.892021,0
0.892021,0
0.892021,0
0.892021,0
0.893023,0
0.894023,0
0.894023,0
0.894023,0
0.894023,0
0.895023,0
0.895023,0
0.895023,0
0.895023,0
0.895023,0
0.895023,0
0.897023,0
0.897023,0
0.897023,0
0.897023,0
0.897023,0
0.897023,0
0.898023,0
0.898023,0
0.898023,0
0.898023,0
0.898023,0
0.900022,0
0.900218,0
0.900218,0
0.900218,0
0.900218,0
0.900797,0
0.900797,0
0.900797,0
0.900797,0
0.900797,0
0.900797,0
0.902725,0
0.902725,0
0.902725,0
0.902725,0
0.902725,0
0.902725,0
0.902725,0
0.903725,0
0.903725,0
0.903725,0
0.904725,0
0.904725,0
0.905754,0
0.905830,0
0.905830,0
0.905830,0
0.905830,0
0.905830,0
0.905830,0
0.905830,0
0.906826,0
0.907825,0
0.907825,0
0.907825,0
0.908826,0
0.908826,0
0.908826,0
0.908826,0
0.908826,0
0.909825,0
0.909825,0
0.909825,0
0.910826,0
0.910826,0
0.910826,0
0.910826,0
0.910826,0
0.911826,0
0.911826,0
0.911826,0
0.911826,0
0.911826,0
0.913827,0
0.913827,0
0.913827,0
0.913827,0
0.913827,0
0.913827,0
0.913827,0
0.913827,0
0.914829,0
0.914829,0
0.914829,0
0.915826,0
0.915826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.916826,0
0.919301,0
0.919301,0
0.919301,0
0.919301,0
0.919301,0
0.919301,0
0.919301,0
0.919301,0
0.920305,0
0.920305,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.922077,0
0.923077,0
0.924855,0
0.924855,0
0.924855,0
0.924855,0
0.924855,0
0.924855,0
0.924855,0
0.924855,0
0.925857,0
0.925857,0
0.925857,0
0.927631,0
0.927631,0
0.927631,0
0.927631,0
0.927631,0
0.927631,0
0.927631,0
0.927631,0
0.928630,0
0.928630,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.930273,0
0.933187,0
0.933187,0
0.933187,0
0.933187,0
0.933187,0
0.933187,0
0.933187,0
0.933187,0
0.934189,0
0.934189,0
0.934189,0
0.935982,0
0.935982,0
0.935982,0
0.935982,0
0.935982,0
0.935982,0
0.935982,0
0.935982,0
0.936985,0
0.936985,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.938747,0
0.939747,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.941526,0
0.942529,0
0.942529,0
0.943921,0
0.943921,0
0.943921,0
0.943921,0
0.943921,0
0.944921,0
0.944921,0
0.944921,0
0.944921,0
0.944921,0
0.947080,0
0.947080,0
0.947080,0
0.947080,0
0.947080,0
0.947080,0
0.947080,0
0.947080,0
0.947964,0
0.947964,0
0.947964,0
0.949497,0
0.950060,0
0.950060,0
0.950060,0
0.950060,0
0.950060,0
0.950060,0
0.950060,0
0.951055,0
0.951055,0
0.951055,0
0.952635,0
0.952635,0
0.952635,0
0.952635,0
0.952635,0
0.952635,0
0.952635,0
0.952635,0
0.953637,0
0.953637,0
0.954635,0
0.954635,0
0.955669,0
0.955738,0
0.955738,0
0.955738,0
0.955738,0
0.955738,0
0.955738,0
0.955738,0
0.955738,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.958192,0
0.959195,0
0.959195,0
0.960982,0
0.960982,0
0.960982,0
0.960982,0
0.960982,0
0.960982,0
0.960982,0
0.960982,0
0.961985,0
0.961985,0
0.962983,0
0.962983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.963983,0
0.966325,0
0.966325,0
0.966325,0
0.966325,0
0.966325,0
0.966325,0
0.966325,0
0.967328,0
0.967328,0
0.967328,0
0.967328,0
0.969301,0
0.969301,0
0.969301,0
0.969301,0
0.969301,0
0.969301,0
0.969301,0
0.969301,0
0.970301,0
0.970301,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
0.972077,0
